Ubicació;Edifici;Tipus de recurs;Descripció del recurs;Observacions;Accés per a minusvàlids;Aire condicionat;Capacitat exàmens;Capacitat;Capacitat docència;Connexió xarxa;Mobiliari;Pissarra;Porta secundària;Roseta xarxa núm.;Tarima;Telèfon núm.;Televisor;Vídeo;Característiques específiques;;Valor característiques específiques;;Centre gestor;Superfície Centre Gestor;Metres;
I2/029;I;Espais administratius i serveis;Despatx;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;13,0;13;
I2/036;I;Espais administratius i serveis;Sala eng. Despatx tècnics;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;85,0;85;
I2/038;I;Espais administratius i serveis;Despatx cap Laboratoris;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;24,0;24;
I2/108;I;Espais administratius i serveis;Despatx d'Investigació;;;;;2;;;;;; ;;;;;;;;;Fac. CC. de la Comunicació;15,0;15;
I2/110;I;Espais administratius i serveis;Fotografia despatx;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;8,0;8;
I2/116;I;Espais administratius i serveis;Fotografia despatx del cap;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;16,0;16;
I/PATIP;I;Espais exteriors;Pati interior parell;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;31,0;31;
I/PATIS;I;Espais exteriors;Pati interior senar;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;31,0;31;
I/0033;I;Espais exteriors;Pati Exterior;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;32,0;32;
I/0038;I;Espais exteriors;Pati;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;68,0;68;
I/0007;I;Lavabos;Lavabo de minusvàlids;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;8,0;8;
I/0009;I;Lavabos;Lavabos mixtes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;13,0;13;
I/0010;I;Lavabos;Lavabos mixtes de professorat;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;9,0;9;
I0/101;I;Lavabos;Lavabos d`homes ;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;5,0;5;
I0/102;I;Lavabos;Lavabos de dones;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;9,0;9;
I0/138;I;Lavabos;Lavabos de dones;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;16,0;16;
I0/140;I;Lavabos;Lavabos d`homes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;16,0;16;
I0/142;I;Lavabos;Lavabos de Minusvàlids;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;16,0;16;
I0/201;I;Lavabos;Lavabos d`homes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;9,0;9;
I0/202;I;Lavabos;Lavabos de dones;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;9,0;9;
I0/301;I;Lavabos;Lavabos d`homes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;9,0;9;
I0/302;I;Lavabos;Lavabos de dones;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;9,0;9;
I0/330A;I;Lavabos;Lavabo homes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;4,0;4;
I0/330B;I;Lavabos;Lavabo dones;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;5,0;5;
I0/330C;I;Lavabos;lavabos minusvàlids;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;3,0;3;
I1/009;I;Lavabos;Lavabos de dones;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;17,0;17;
I1/019;I;Lavabos;Lavabos d`homes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;16,0;16;
I1/102;I;Lavabos;Lavabos de dones;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;26,0;26;
I1/106;I;Lavabos;Lavabos d`homes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;21,0;21;
I2/013;I;Lavabos;Lavabos de dones;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;29,0;29;
I2/019;I;Lavabos;Lavabos d`homes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;29,0;29;
I2/105;I;Lavabos;Lavabos de dones ;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;14,0;14;
I2/111;I;Lavabos;Lavabos d`homes ;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;14,0;14;
I2/113;I;Lavabos;Lavabos d`homes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;14,0;14;
I/0036;I;Magatzem;Compactus;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;337,0;337;
I0/207B;I;Magatzem;Magatzem;;;;;;;;;;;;;;;;;;;;Dept. Period. Ciènc. Comunic.;4,0;4;
I0/226;I;Magatzem;Magatzem;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;6,0;6;
I2/003;I;Magatzem;magatzem;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;30,0;30;
I2/025A;I;Magatzem;Magatzem informàtica;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;7,0;7;
I2/042A;I;Magatzem;Magatzem de control;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;10,0;10;
I2/048;I;Magatzem;Attrezzo;;;;;;;;;;;;;;;;;;;;Adm. Ciències Comunicació;28,0;28;
I2/052A;I;Magatzem;Magatzem de control;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;10,0;10;
I2/054A;I;Magatzem;Magatzem de control;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;10,0;10;
I2/021;I;Menjadors i cuines offics;Menjador del PAS;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;84,0;84;
I0/ES01;I;Passadissos i escales;escales davant porta automàtic;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;19,0;19;
I0/ES11;I;Passadissos i escales;Escales planta 1 a 2 senar;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;11,0;11;
I0/ES12;I;Passadissos i escales;Escales planta 1 a 2 parell;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;11,0;11;
I0/ES13;I;Passadissos i escales;Escales costat del bar;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;25,0;25;
I0/ES14;I;Passadissos i escales;Escales interiors bar;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;16,0;16;
I0/ES15;I;Passadissos i escales;Escales interior sala calderes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;16,0;16;
I0/ES21;I;Passadissos i escales;Escales planta 2 a 3 senar;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;12,0;12;
I0/ES22;I;Passadissos i escales;Escala planta 2 a 3 parell;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;12,0;12;
I0/ES23;I;Passadissos i escales;Escales accés deganat/adminis.;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;35,0;35;
I0/ES24;I;Passadissos i escales;Escales interiors G.Acadèmica;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;11,0;11;
I0/ES25;I;Passadissos i escales;Escales interiors SLIPI;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;11,0;11;
I0/ES31;I;Passadissos i escales;Escales accés ascensors senar;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;11,0;11;
I0/ES32;I;Passadissos i escales;Escales accés ascensors parell;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;11,0;11;
I0/ES33;I;Passadissos i escales;Escales interiors sales;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;16,0;16;
I0/ES34;I;Passadissos i escales;Escales interiors deganat;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;16,0;16;
I0/PAS0;I;Passadissos i escales;passadis planta 0;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;262,0;262;
I0/PAS1;I;Passadissos i escales;Passadis I0 planta 1a;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;29,0;29;
I0/PAS2;I;Passadissos i escales;passadis i0 planta 2a;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;530,0;530;
I0/PAS3;I;Passadissos i escales;passadis sala d`actes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;62,0;62;
I0/PAS3BIS;I;Passadissos i escales;passadis i0 planta 3a;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;178,0;178;
I0/PAS4P;I;Passadissos i escales;Passadís I0 planta 4 parell;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;25,0;25;
I0/PAS4S;I;Passadissos i escales;Passadis I0 planta 4 senar;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;25,0;25;
I0/303;I;Passadissos i escales;Passadís ;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;72,0;72;
I0/304;I;Passadissos i escales;Passadís;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;72,0;72;
I1/ES01;I;Passadissos i escales;Escales anteriors aula magna;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;33,0;33;
I1/ES02;I;Passadissos i escales;Escales posteriors aula magna;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;33,0;33;
I1/PAS0;I;Passadissos i escales;Passadis aula magna;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;249,0;249;
I1/PAS1;I;Passadissos i escales;passadis cabina aula Magna;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;265,0;265;
I2/ES01;I;Passadissos i escales;Escales davant platós;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;33,0;33;
I2/ES02;I;Passadissos i escales;Escales davant estudis;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;33,0;33;
I2/PAS0;I;Passadissos i escales;Passadis plantes platós;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;776,0;776;
I2/PAS1;I;Passadissos i escales;Passadis estudis fotografia;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;350,0;350;
I2/1P1;I;Passadissos i escales;Passadissos a Fotografia;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;314,0;314;
I/0004;I;Sala de màquines i instal·lacions;Quadre elèctric ;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;2,0;2;
I/0027;I;Sala de màquines i instal·lacions;Espai de comunicacions;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;5,0;5;
I/0029;I;Sala de màquines i instal·lacions;Cambra d'instal·lacions;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;15,0;15;
I/0030;I;Sala de màquines i instal·lacions;Cambra d`instal·lacions;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;22,0;22;
I0/109;I;Sala de màquines i instal·lacions;Motor de calefacció;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;3,0;3;
I0/110;I;Sala de màquines i instal·lacions;Motor de calefacció;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;3,0;3;
I0/119;I;Sala de màquines i instal·lacions;Motor de calefacció;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;3,0;3;
I0/120;I;Sala de màquines i instal·lacions;Motor de calefacció;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;3,0;3;
I0/126;I;Sala de màquines i instal·lacions;Vestíbul d'Instal·lacions;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;11,0;11;
I0/126.1;I;Sala de màquines i instal·lacions;Sala de calderes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;89,0;89;
I0/128;I;Sala de màquines i instal·lacions;Sala de Màquines i instal·lacions;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;47,0;47;
I0/130;I;Sala de màquines i instal·lacions;Sala Màquines d'Ascensors;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;6,0;6;
I0/132;I;Sala de màquines i instal·lacions;Sala de Màquines i instal·lacions;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;34,0;34;
I0/210;I;Sala de màquines i instal·lacions;Motor de calefacció;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;3,0;3;
I0/220;I;Sala de màquines i instal·lacions;Motor de calefacció;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;3,0;3;
I0/309;I;Sala de màquines i instal·lacions;Motor de calefacció;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;3,0;3;
I0/310;I;Sala de màquines i instal·lacions;Motor de calefacció;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;3,0;3;
I0/315;I;Sala de màquines i instal·lacions;Motor de calefacció;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;3,0;3;
I0/320;I;Sala de màquines i instal·lacions;Motor de calefacció;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;26,0;26;
I0/400;I;Sala de màquines i instal·lacions;Sala de Màquines d'ascensor;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;7,0;7;
I0/401;I;Sala de màquines i instal·lacions;Sala de Màquines d'ascensor;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;13,0;13;
I0/405;I;Sala de màquines i instal·lacions;Motor de calefacció;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;3,0;3;
I0/406;I;Sala de màquines i instal·lacions;Motor de calefacció;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;3,0;3;
I0/413;I;Sala de màquines i instal·lacions;Motor de calefacció;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;3,0;3;
I0/420;I;Sala de màquines i instal·lacions;Motor de calefacció;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;3,0;3;
I1/104;I;Sala de màquines i instal·lacions;Cabina projecció Aula Magna;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;13,0;13;
I2/119.3;I;Sala de màquines i instal·lacions;Sala d'equipaments;;;;;;;;;;;;;;;;;;;;Adm. Ciències Comunicació;9,0;9;
I0/VES0;I;Vestíbuls i sales d'espera;Vestibul planta 0;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;57,0;57;
I0/VES1;I;Vestíbuls i sales d'espera;Vestibul planta 1;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;2,0;2;
I0/VES3;I;Vestíbuls i sales d'espera;Vestibul deganat;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;15,0;15;
I0/205;I;Vestíbuls i sales d'espera;Sala d'espera;;;;;;;;;;;;;;;;;;;;Dep. Com. Audio. i Publicitat;16,0;16;
I0/205B;I;Vestíbuls i sales d'espera;Vestíbul Departament;;;;;;;;;;;;;;;;;;;;Dep. Com. Audio. i Publicitat;11,0;11;
I0/207;I;Vestíbuls i sales d'espera;Sala d'espera;;;;;;;;;;;;;;;;;;;;Dept. Period. Ciènc. Comunic.;20,0;20;
I0/321;I;Vestíbuls i sales d'espera;Vestíbul Deganat;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;15,0;15;
I2/103;I;Vestíbuls i sales d'espera;Vestibul;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;14,0;14;
I2/015;I;Vestuaris;Vestuari Homes;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;19,0;19;
I2/017;I;Vestuaris;Vestuari dones;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;19,0;19;
I2/046;I;Espais aliens a la UAB;Espai del Servei de Neteja;;;;;;;;;;;;;;;;;;;;Adm. Ciències Comunicació;28,0;28;
I/0002;I;Espais cedits i concessionaris;Espai de neteja;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;2,0;2;
I0/101B;I;Espais cedits i concessionaris;Espai de neteja;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;3,0;3;
I0/125;I;Espais cedits i concessionaris;Bar;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;241,0;241;
I0/232;I;Espais cedits i concessionaris;Quiosc;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;45,0;45;
I2/001;I;Espais cedits i concessionaris;Fotocòpies;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;28,0;28;
I/105EM/04;I;Micròfon corbata (EM/04);Micròfon de Corbata;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/051;I;Micròfon de ma (EM/05);Micròfon de ma ;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/081;I;Càmara vídeo (EM/08);Càmara Webcam 1;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/082;I;Càmara vídeo (EM/08);Càmara Webcam 2;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/083;I;Càmara vídeo (EM/08);Càmara Webcam 3;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/09;I;Projector diapositives (EM/09);Projector de diapositives;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/12;I;Retroprojector (EM/12);Retroprojector;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/131;I;Pantalla (EM/13);Pantalla portàtil 1;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/151;I;Canó projector (EM/15);Canó projector portàtil 1;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/152;I;Canó projector (EM/15);Canó projector portàtil 2;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/251;I;Punter làser (EM/25);Presentador i punter làser 1;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/252;I;Punter làser (EM/25);Presentador i punter làser 2;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/253;I;Punter làser (EM/25);Presentador i punter làser 3;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/261;I;Pissarra (EM/26);Pissarra portàtil 1;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/27;I;Papelògraf (EM/27);Papelògraf;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/341;I;Ordinador portàtil (EM/34);Ordinador portàtil 1;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/342;I;Ordinador portàtil (EM/34);Ordinador portàtil 2;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/343;I;Ordinador portàtil (EM/34);Ordinador portàtil 3;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/344;I;Ordinador portàtil (EM/34);Ordinador portàtil 4;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/36;I;Aigues (EM/36);Aigües;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/391;I;Altaveus portàtils (EM/39);Altaveus portàtils ordinador;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/40;I;Cable ordinador-projector (EM/40);Cable ordinador-projector;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/41;I;Urna (EM/41);Urna;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/461;I;plafons d'exposicions (EM/46);Plafons d'Exposicions 01 Gran 2 x 1.20 ;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/4610;I;plafons d'exposicions (EM/46);Plafons d'Exposicions 10 Gran 2 x 1.20;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/4611;I;plafons d'exposicions (EM/46);Plafons d'Exposicions 11 Gran 2 x 1.20;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/4612;I;plafons d'exposicions (EM/46);Plafons d'Exposicions 12 Gran 2 x 1.20;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/4613;I;plafons d'exposicions (EM/46);Plafons d'Exposicions 13 Petit 1 x 1.20;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/4614;I;plafons d'exposicions (EM/46);Plafons d'Exposicions 14 Petit 1 x 1.20;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/4615;I;plafons d'exposicions (EM/46);Plafons d'Exposicions 15 Petit 1 x 1.20;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/4616;I;plafons d'exposicions (EM/46);Plafons d'Exposicions 16 Petit 1 x 1.20;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/462;I;plafons d'exposicions (EM/46);Plafons d'Exposicions 02 Gran 2 x 1.20;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/463;I;plafons d'exposicions (EM/46);Plafons d'Exposicions 03 Gran 2 x 1.20;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/464;I;plafons d'exposicions (EM/46);Plafons d'Exposicions 04 Gran 2 x 1.20;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/465;I;plafons d'exposicions (EM/46);Plafons d'Exposicions 05 Gran 2 x 1.20;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/466;I;plafons d'exposicions (EM/46);Plafons d'Exposicions 06 Gran 2 x 1.20;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/467;I;plafons d'exposicions (EM/46);Plafons d'Exposicions 07 Gran 2 x 1.20;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/468;I;plafons d'exposicions (EM/46);Plafons d'Exposicions 08 Gran 2 x 1.20;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
I/105EM/469;I;plafons d'exposicions (EM/46);Plafons d'Exposicions 09 Gran 2 x 1.20;;;;;;;;;;;;;;;;;;;;Fac. CC. de la Comunicació;0,0;0;
Totals;;;;;;;1328;8;2512;;;;;;;0;;;;;;;;12917;12917;
